Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
6.867089e+01         9.169780e-12         3.345070e-03      9.169990e-12         4.367960e-03      9.160620e-12         3.730580e-03      
6.992405e+01         9.121560e-12         3.503290e-03      9.123960e-12         4.308420e-03      9.126290e-12         3.907310e-03      
7.117722e+01         9.038360e-12         9.635070e-04      9.041050e-12         1.796570e-04      9.050200e-12         -4.172570e-04      
7.243038e+01         9.053780e-12         3.451200e-03      9.051370e-12         3.773790e-03      9.049600e-12         3.991240e-03      
7.368354e+01         9.007840e-12         4.033770e-03      9.012350e-12         4.492250e-03      9.018090e-12         3.614080e-03      
7.493671e+01         8.980650e-12         4.234370e-03      8.975010e-12         3.381560e-03      8.971550e-12         4.000510e-03      
7.618987e+01         8.943900e-12         4.459780e-03      8.930260e-12         4.472790e-03      8.941450e-12         2.123260e-03      
7.744304e+01         8.891310e-12         6.434820e-03      8.921540e-12         6.581850e-03      8.930520e-12         5.188250e-03      
7.869620e+01         8.829910e-12         -2.310080e-03      8.806530e-12         2.629080e-04      8.818930e-12         2.934920e-03      
7.994937e+01         8.853720e-12         4.909660e-03      8.823960e-12         3.420350e-03      8.852980e-12         2.997010e-03      
8.120253e+01         8.809290e-12         4.148780e-03      8.809520e-12         4.006430e-03      8.810740e-12         3.642930e-03      
8.245570e+01         8.731880e-12         3.062290e-04      8.744080e-12         5.587820e-04      8.732160e-12         8.570980e-04      
8.370886e+01         8.752160e-12         3.989190e-03      8.740420e-12         3.438560e-03      8.746420e-12         4.587960e-03      
8.496203e+01         8.718390e-12         3.615520e-03      8.714560e-12         3.741630e-03      8.716350e-12         4.198970e-03      
8.621519e+01         8.692520e-12         3.022280e-03      8.689640e-12         5.647100e-03      8.681200e-12         2.047040e-03      
8.746835e+01         8.658510e-12         2.094440e-03      8.662430e-12         5.731150e-03      8.645360e-12         2.718130e-03      
8.872152e+01         8.624260e-12         1.416750e-03      8.628340e-12         6.043090e-03      8.628410e-12         1.535430e-03      
8.997468e+01         8.605880e-12         4.389360e-03      8.602440e-12         4.166410e-03      8.600050e-12         3.776790e-03      
9.122785e+01         8.568900e-12         4.385210e-03      8.573210e-12         3.422270e-03      8.573300e-12         3.939610e-03      
9.248101e+01         8.508300e-12         5.173860e-04      8.507800e-12         2.133420e-04      8.508010e-12         2.635110e-04      
9.373418e+01         8.518200e-12         4.255240e-03      8.519040e-12         3.577970e-03      8.524420e-12         3.611700e-03      
9.498734e+01         8.454010e-12         -4.577500e-05      8.458930e-12         1.165150e-03      8.453730e-12         -3.257840e-04      
9.624051e+01         8.470450e-12         3.534420e-03      8.467270e-12         4.216590e-03      8.472210e-12         4.501260e-03      
9.749367e+01         8.403120e-12         1.077820e-03      8.407360e-12         7.951390e-04      8.406280e-12         2.225840e-04      
9.874684e+01         8.425710e-12         4.721680e-03      8.417620e-12         3.489000e-03      8.426950e-12         4.136970e-03      
1.000000e+02         8.398940e-12         3.418970e-03      8.399890e-12         4.700870e-03      8.395930e-12         3.380790e-03      
