Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
6.867089e+01         4.332270e-12         8.557250e-03      4.335340e-12         9.641430e-03      4.340020e-12         1.010680e-02      
6.992405e+01         4.296220e-12         1.436120e-03      4.293900e-12         2.405520e-03      4.296360e-12         3.784750e-03      
7.117722e+01         4.333960e-12         9.328420e-03      4.332860e-12         9.835980e-03      4.335770e-12         9.571520e-03      
7.243038e+01         4.334170e-12         9.025500e-03      4.330420e-12         7.567030e-03      4.346850e-12         7.653610e-03      
7.368354e+01         4.309890e-12         2.556750e-04      4.295830e-12         5.276610e-03      4.286650e-12         9.336310e-04      
7.493671e+01         4.337150e-12         9.543350e-03      4.335620e-12         9.634100e-03      4.339200e-12         9.803000e-03      
7.618987e+01         4.336960e-12         8.035950e-03      4.341100e-12         9.459160e-03      4.337850e-12         9.398260e-03      
7.744304e+01         4.298870e-12         2.980920e-03      4.299770e-12         2.013800e-03      4.294470e-12         1.898240e-03      
7.869620e+01         4.335490e-12         9.696260e-03      4.333830e-12         8.976040e-03      4.337450e-12         9.131650e-03      
7.994937e+01         4.335250e-12         8.308960e-03      4.337170e-12         9.783400e-03      4.336390e-12         8.302890e-03      
8.120253e+01         4.292900e-12         2.605930e-03      4.297560e-12         2.893950e-03      4.297770e-12         1.737620e-03      
8.245570e+01         4.332120e-12         8.514760e-03      4.339240e-12         9.331420e-03      4.332540e-12         8.838890e-03      
8.370886e+01         4.293670e-12         2.408810e-03      4.298660e-12         1.406470e-03      4.298420e-12         3.305710e-03      
8.496203e+01         4.332620e-12         9.223280e-03      4.336940e-12         8.957850e-03      4.333740e-12         8.854520e-03      
8.621519e+01         4.338710e-12         1.031860e-02      4.335670e-12         7.650360e-03      4.331850e-12         1.000690e-02      
8.746835e+01         4.337710e-12         8.641550e-03      4.335040e-12         8.961850e-03      4.335310e-12         9.140600e-03      
8.872152e+01         4.299530e-12         1.981800e-03      4.299060e-12         2.441460e-03      4.301810e-12         2.413900e-03      
8.997468e+01         4.339470e-12         9.691930e-03      4.333770e-12         9.829050e-03      4.335830e-12         9.776500e-03      
9.122785e+01         4.335150e-12         8.749040e-03      4.331040e-12         9.489790e-03      4.342120e-12         1.035180e-02      
9.248101e+01         4.300990e-12         2.283310e-03      4.297260e-12         2.576520e-03      4.296070e-12         2.202200e-03      
9.373418e+01         4.335550e-12         9.041730e-03      4.335580e-12         8.584970e-03      4.333820e-12         9.507250e-03      
9.498734e+01         4.336260e-12         9.249210e-03      4.334110e-12         9.530560e-03      4.331570e-12         9.530860e-03      
9.624051e+01         4.303500e-12         2.935380e-03      4.290230e-12         2.834650e-03      4.301020e-12         1.209950e-03      
9.749367e+01         4.332720e-12         1.028310e-02      4.341130e-12         9.022980e-03      4.336940e-12         8.366580e-03      
9.874684e+01         4.337370e-12         9.559420e-03      4.339790e-12         9.072150e-03      4.338620e-12         8.272130e-03      
1.000000e+02         4.296430e-12         6.837010e-04      4.291170e-12         1.895800e-03      4.297480e-12         2.924830e-03      
