Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
-6.741772e+01         4.233680e-12         2.134280e-03      4.237070e-12         7.229920e-04      4.252660e-12         2.056410e-03      
-6.867089e+01         4.264790e-12         1.090390e-02      4.305310e-12         1.125070e-02      4.268760e-12         7.524920e-03      
-6.992405e+01         4.225510e-12         6.026530e-03      4.255170e-12         -1.013950e-03      4.229970e-12         5.466110e-03      
-7.117722e+01         4.274970e-12         1.186990e-02      4.279660e-12         8.143170e-03      4.294140e-12         8.733370e-03      
-7.243038e+01         4.281120e-12         9.877920e-03      4.283940e-12         1.011240e-02      4.286490e-12         1.050660e-02      
-7.368354e+01         4.283740e-12         1.070980e-02      4.283910e-12         1.102660e-02      4.287240e-12         1.062220e-02      
-7.493671e+01         4.285100e-12         9.944290e-03      4.284910e-12         9.457210e-03      4.283670e-12         9.818210e-03      
-7.618987e+01         4.235740e-12         3.291700e-03      4.233630e-12         2.780070e-03      4.237500e-12         2.620520e-04      
-7.744304e+01         4.289800e-12         1.193130e-02      4.276860e-12         1.083760e-02      4.277670e-12         8.802930e-03      
-7.869620e+01         4.237150e-12         5.294500e-03      4.233100e-12         -9.867900e-04      4.251160e-12         5.056480e-03      
-7.994937e+01         4.306670e-12         6.930250e-03      4.272530e-12         4.998050e-03      4.257480e-12         1.002000e-02      
-8.120253e+01         4.267510e-12         1.394490e-03      4.252530e-12         -3.700230e-03      4.232880e-12         -3.302430e-03      
-8.245570e+01         4.284260e-12         1.617770e-02      4.306830e-12         1.273770e-02      4.292320e-12         4.830300e-03      
-8.370886e+01         4.264360e-12         9.461980e-03      4.303700e-12         1.086000e-02      4.270140e-12         9.951310e-03      
-8.496203e+01         4.284450e-12         1.019180e-02      4.279580e-12         1.039910e-02      4.284230e-12         1.123440e-02      
-8.621519e+01         4.284630e-12         1.125700e-02      4.290540e-12         9.952300e-03      4.280420e-12         9.234240e-03      
-8.746835e+01         4.281730e-12         9.678380e-03      4.280420e-12         9.710640e-03      4.281750e-12         1.048010e-02      
-8.872152e+01         4.240920e-12         1.481750e-03      4.235480e-12         2.076850e-03      4.238660e-12         3.646770e-03      
-8.997468e+01         4.288980e-12         8.959940e-03      4.278230e-12         9.779190e-03      4.290960e-12         1.045260e-02      
-9.122785e+01         4.240900e-12         3.963470e-03      4.240160e-12         1.050920e-03      4.234000e-12         3.441740e-03      
-9.248101e+01         4.281850e-12         1.096450e-02      4.283510e-12         1.052150e-02      4.283120e-12         9.633930e-03      
-9.373418e+01         4.294680e-12         1.070120e-02      4.277620e-12         1.223200e-02      4.282240e-12         7.976360e-03      
-9.498734e+01         4.288230e-12         1.151100e-02      4.281560e-12         1.104750e-02      4.279390e-12         1.078160e-02      
-9.624051e+01         4.280980e-12         9.638330e-03      4.285270e-12         9.551500e-03      4.283420e-12         9.284250e-03      
-9.749367e+01         4.237560e-12         2.250920e-03      4.242820e-12         3.544900e-03      4.242320e-12         7.657660e-04      
-9.874684e+01         4.280960e-12         9.911290e-03      4.283350e-12         9.027740e-03      4.288470e-12         9.805940e-03      
-1.000000e+02         4.281360e-12         8.468420e-03      4.290060e-12         9.958070e-03      4.281060e-12         1.087980e-02      
